ruta_original,url,sha256,adquirido_utc,snapshot,redistribucion
data/source_archive/open_food_facts/3280220908073.json,https://world.openfoodfacts.org/api/v3.6/product/3280220908073.json,97f68419ca95f141618ee9c358e714ca9267fd617f335a4e669723e0c85ceb00,2026-09-05T19:36:43.666144+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3297760097969.json,https://world.openfoodfacts.org/api/v3.6/product/3297760097969.json,4ca81216211f1bcee72fbec12aa048f20f553391238401e6a12b791653d2924c,2026-09-06T22:58:05.692892+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3302740047312.json,https://world.openfoodfacts.org/api/v3.6/product/3302740047312.json,c6e416d7690beab36142fe27c4cfe15cba0edd1a6291fa0004a1c84a22a7a8bb,2026-09-06T22:58:11.178014+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3384110004736.json,https://world.openfoodfacts.org/api/v3.6/product/3384110004736.json,aee7ee61aaef49ced717631d7a48fa451ee7cd589b946594674713c65a8a42a7,2026-09-06T22:58:16.312420+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3412290023909.json,https://world.openfoodfacts.org/api/v3.6/product/3412290023909.json,5be80ad8e7d2bced097cf2d67f047b42504ca05afb54346eda40e5496110d8e3,2026-09-05T19:37:03.716173+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3423182102411.json,https://world.openfoodfacts.org/api/v3.6/product/3423182102411.json,d0db609e5c045e822adffddf1c76db2d871627f5ea815751fcd0216e91ad4014,2026-09-06T22:58:21.457654+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3443431503004.json,https://world.openfoodfacts.org/api/v3.6/product/3443431503004.json,c126eff15c206b04bbf51f37494d9d7315ce39955a20846a7f0aba6a573413df,2026-09-06T22:58:26.582736+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3450970173834.json,https://world.openfoodfacts.org/api/v3.6/product/3450970173834.json,b2903dee5936fc920a8e1a6566e283e292568d17f448d9e8cc673462900efccb,2026-09-06T22:58:31.879943+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3456300014556.json,https://world.openfoodfacts.org/api/v3.6/product/3456300014556.json,28163a9aa69ae9dc57a947e50ab8cfa93c424eb067341d182af5a868ba9d1823,2026-09-06T22:58:37.175429+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3500390010247.json,https://world.openfoodfacts.org/api/v3.6/product/3500390010247.json,b8c4d0dc28df773eacb84b3b8e73410830a3f89b708e550e0ef3c9a9a4294f8f,2026-09-05T19:36:13.571074+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3560070206469.json,https://world.openfoodfacts.org/api/v3.6/product/3560070206469.json,106436df1ad8f8c78b20c27234f836affc256b833f79b363d0f5e26f12ddbc12,2026-09-05T19:36:03.576421+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3560070283484.json,https://world.openfoodfacts.org/api/v3.6/product/3560070283484.json,24fd7006bec7ae662e98251226eb42439e6c7802223600ca61ccf96263d702be,2026-09-05T19:35:58.464842+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3560071264550.json,https://world.openfoodfacts.org/api/v3.6/product/3560071264550.json,270682ecd33d1e580d2efd7ace247ca3319986fda2be8a41211e79187ac5d073,2026-09-06T22:58:42.396685+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3560071266721.json,https://world.openfoodfacts.org/api/v3.6/product/3560071266721.json,77addbcf09f1edb4dd42a25c757ab4bec013498d6ec3e5d9be12e66bc04b0951,2026-09-06T22:58:47.721076+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3566141001087.json,https://world.openfoodfacts.org/api/v3.6/product/3566141001087.json,b7948394a3f105985af52393aa14931c60fa44b5c96d76add45d2fce20b76027,2026-09-06T22:58:52.706571+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3580281710067.json,https://world.openfoodfacts.org/api/v3.6/product/3580281710067.json,c9ec3e85df6c216f57687fd9d4ce48d93e32184cecdd307a891ff892bc74fe42,2026-09-06T22:58:57.837810+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3596710435791.json,https://world.openfoodfacts.org/api/v3.6/product/3596710435791.json,6a9f96dcaf3d96f4bc272d1751371a8823df59a8e0244f9821a538d6ecc0602b,2026-09-06T22:59:02.991396+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3760020507916.json,https://world.openfoodfacts.org/api/v3.6/product/3760020507916.json,d9cea108ffaf5dd04b2e00df5ad1901015599cd34b55021ed1fc14aee7cff222,2026-09-05T19:36:23.581606+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3760090370571.json,https://world.openfoodfacts.org/api/v3.6/product/3760090370571.json,750430216bd4e8274a8aa268b299aa380850033f7c0cf76bbd910d3e0bda1036,2026-09-06T22:59:08.170875+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3760297370206.json,https://world.openfoodfacts.org/api/v3.6/product/3760297370206.json,c4a8a73fa17261e7abaeb5ae79bfb2c1aa5dda9923620f65a19a7ddca62ca750,2026-09-06T22:59:13.414631+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3760341070236.json,https://world.openfoodfacts.org/api/v3.6/product/3760341070236.json,f1b2c0555943271b29188ef76d3fa0b0fe915885ccb4bdeb696797cb762abec9,2026-09-06T22:59:18.581119+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3770014111777.json,https://world.openfoodfacts.org/api/v3.6/product/3770014111777.json,32a912a44d6e223dfafb23196f02904fbe8ebf3ba34e10c30d44d9fe35794117,2026-09-05T19:36:33.752576+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3770018078151.json,https://world.openfoodfacts.org/api/v3.6/product/3770018078151.json,d3b2de87961cdb4eaa4161956fe1fcc83469f0fe7c6ee05e5f930f9de9c32413,2026-09-06T22:59:23.891534+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/4001242003633.json,https://world.openfoodfacts.org/api/v3.6/product/4001242003633.json,77893399f5cc2eaec230a916fb0a05ca1034b02da352bc9cd111106bfacf4f7a,2026-09-06T22:59:29.196377+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/4042316993221.json,https://world.openfoodfacts.org/api/v3.6/product/4042316993221.json,cc1ba10d387fa60f150078b2e5464915ff9e7123e402588835de9474354c3eff,2026-09-06T22:59:34.160029+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/4061464487482.json,https://world.openfoodfacts.org/api/v3.6/product/4061464487482.json,a1723f3efe4248aaca50726c77ab9f516290e57ac2805d8457975849cf5dd788,2026-09-05T19:37:23.984365+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/4063367510533.json,https://world.openfoodfacts.org/api/v3.6/product/4063367510533.json,734b394737b6fec6503def19507cfbfd60cfb885eebab0a827c326ba2004b798,2026-09-06T22:59:39.197247+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/4260031550011.json,https://world.openfoodfacts.org/api/v3.6/product/4260031550011.json,9843e2740256b9c6bcda97e4341729bc1df43b8755db56c358648bae52fb7bf3,2026-09-06T22:59:44.449363+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/4850002940974.json,https://world.openfoodfacts.org/api/v3.6/product/4850002940974.json,062033c0fad973e7a275a9c41139ce22165e2111e2e3d1fb1f9bce682011046e,2026-09-06T22:59:49.616712+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/5000112611878.json,https://world.openfoodfacts.org/api/v3.6/product/5000112611878.json,f41cd3f2dade88d4268353353d5dbf52f2025a396d4f4a709efe3ac9ab99291f,2026-09-06T22:59:54.940802+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/5214002552640.json,https://world.openfoodfacts.org/api/v3.6/product/5214002552640.json,edff220e9adfdf18329436ce4a30724ae00c72b82cfd6c29bdee8d58883e6174,2026-09-06T23:00:00.099375+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/5760466994484.json,https://world.openfoodfacts.org/api/v3.6/product/5760466994484.json,4b8a4bde18ea0560c66d4d1fe99684d52fc38b2b2ba27186f5d549d894fbf767,2026-09-06T23:00:05.245390+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/7622210231277.json,https://world.openfoodfacts.org/api/v3.6/product/7622210231277.json,b8e70d512b8775870ea0c2982015591efab923b4162d0deff369008a6077ed07,2026-09-06T23:00:10.567468+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
