price_id,price_type,product_code,category_tag,price,price_per,currency,date,location_id,proof_id,proof_type,country,city,qc_price_positive,qc_currency_present,qc_date_present,qc_date_not_future,qc_date_valid,qc_proof_present,qc_proof_visual,qc_product_identity,qc_core_eligible,product_name,brands,categories_tags,nutriscore_grade,nova_group,off_source_sha256,off_acquired_at,off_last_modified_t,off_history_status,proof_metadata_sha256,proof_metadata_type,proof_prediction_count,year,month,day_of_week,proof_metadata_available
6190,PRODUCT,3384110004736,,2.300,,EUR,2018-05-03,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True,Poitrine Cuite Roulée,Saveurs Bressanes,"[""en:meats-and-their-products"", ""en:meats"", ""en:pork-and-its-products"", ""en:prepared-meats"", ""en:pork"", ""fr:charcuteries-cuites""]",d,4.0,aee7ee61aaef49ced717631d7a48fa451ee7cd589b946594674713c65a8a42a7,2026-09-06T22:58:16.312420+00:00,1774440021,NO_VERIFICABLE_HISTORICAMENTE,,,,2018,5,3,False
6381,PRODUCT,3384110004736,,2.300,,EUR,2018-08-09,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True,Poitrine Cuite Roulée,Saveurs Bressanes,"[""en:meats-and-their-products"", ""en:meats"", ""en:pork-and-its-products"", ""en:prepared-meats"", ""en:pork"", ""fr:charcuteries-cuites""]",d,4.0,aee7ee61aaef49ced717631d7a48fa451ee7cd589b946594674713c65a8a42a7,2026-09-06T22:58:16.312420+00:00,1774440021,NO_VERIFICABLE_HISTORICAMENTE,,,,2018,8,3,False
6522,PRODUCT,3384110004736,,2.300,,EUR,2018-09-28,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True,Poitrine Cuite Roulée,Saveurs Bressanes,"[""en:meats-and-their-products"", ""en:meats"", ""en:pork-and-its-products"", ""en:prepared-meats"", ""en:pork"", ""fr:charcuteries-cuites""]",d,4.0,aee7ee61aaef49ced717631d7a48fa451ee7cd589b946594674713c65a8a42a7,2026-09-06T22:58:16.312420+00:00,1774440021,NO_VERIFICABLE_HISTORICAMENTE,,,,2018,9,4,False
6557,PRODUCT,3384110004736,,2.300,,EUR,2018-10-09,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True,Poitrine Cuite Roulée,Saveurs Bressanes,"[""en:meats-and-their-products"", ""en:meats"", ""en:pork-and-its-products"", ""en:prepared-meats"", ""en:pork"", ""fr:charcuteries-cuites""]",d,4.0,aee7ee61aaef49ced717631d7a48fa451ee7cd589b946594674713c65a8a42a7,2026-09-06T22:58:16.312420+00:00,1774440021,NO_VERIFICABLE_HISTORICAMENTE,,,,2018,10,1,False
6563,PRODUCT,3038359004544,,0.650,,EUR,2018-10-09,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True,Sauce Tomate concentrée cuisinée aux petits légumes,"Panzani, panzani","[""en:plant-based-foods-and-beverages"", ""en:plant-based-foods"", ""en:fruits-and-vegetables-based-foods"", ""en:vegetable-based-foods-and-beverages"", ""en:condiments"", ""en:vegetables-based-foods"", ""en:tomatoes-and-their-products"", ""en:sauces"", ""en:tomato-sauces"", ""en:meal-kits""]",d,4.0,1525ef9c4b93a3b937a69eaec8f574478094d6ae7f1cef983e3d35932dc3445a,2026-09-06T22:56:35.694423+00:00,1787478069,NO_VERIFICABLE_HISTORICAMENTE,,,,2018,10,1,False
6729,PRODUCT,3038359004544,,0.650,,EUR,2018-11-09,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True,Sauce Tomate concentrée cuisinée aux petits légumes,"Panzani, panzani","[""en:plant-based-foods-and-beverages"", ""en:plant-based-foods"", ""en:fruits-and-vegetables-based-foods"", ""en:vegetable-based-foods-and-beverages"", ""en:condiments"", ""en:vegetables-based-foods"", ""en:tomatoes-and-their-products"", ""en:sauces"", ""en:tomato-sauces"", ""en:meal-kits""]",d,4.0,1525ef9c4b93a3b937a69eaec8f574478094d6ae7f1cef983e3d35932dc3445a,2026-09-06T22:56:35.694423+00:00,1787478069,NO_VERIFICABLE_HISTORICAMENTE,,,,2018,11,4,False
6780,PRODUCT,3384110004736,,2.300,,EUR,2018-11-30,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True,Poitrine Cuite Roulée,Saveurs Bressanes,"[""en:meats-and-their-products"", ""en:meats"", ""en:pork-and-its-products"", ""en:prepared-meats"", ""en:pork"", ""fr:charcuteries-cuites""]",d,4.0,aee7ee61aaef49ced717631d7a48fa451ee7cd589b946594674713c65a8a42a7,2026-09-06T22:58:16.312420+00:00,1774440021,NO_VERIFICABLE_HISTORICAMENTE,,,,2018,11,4,False
6923,PRODUCT,3384110004736,,2.300,,EUR,2018-12-29,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True,Poitrine Cuite Roulée,Saveurs Bressanes,"[""en:meats-and-their-products"", ""en:meats"", ""en:pork-and-its-products"", ""en:prepared-meats"", ""en:pork"", ""fr:charcuteries-cuites""]",d,4.0,aee7ee61aaef49ced717631d7a48fa451ee7cd589b946594674713c65a8a42a7,2026-09-06T22:58:16.312420+00:00,1774440021,NO_VERIFICABLE_HISTORICAMENTE,,,,2018,12,5,False
7054,PRODUCT,3384110004736,,2.300,,EUR,2019-01-25,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True,Poitrine Cuite Roulée,Saveurs Bressanes,"[""en:meats-and-their-products"", ""en:meats"", ""en:pork-and-its-products"", ""en:prepared-meats"", ""en:pork"", ""fr:charcuteries-cuites""]",d,4.0,aee7ee61aaef49ced717631d7a48fa451ee7cd589b946594674713c65a8a42a7,2026-09-06T22:58:16.312420+00:00,1774440021,NO_VERIFICABLE_HISTORICAMENTE,,,,2019,1,4,False
7104,PRODUCT,3384110004736,,2.300,,EUR,2019-02-14,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True,Poitrine Cuite Roulée,Saveurs Bressanes,"[""en:meats-and-their-products"", ""en:meats"", ""en:pork-and-its-products"", ""en:prepared-meats"", ""en:pork"", ""fr:charcuteries-cuites""]",d,4.0,aee7ee61aaef49ced717631d7a48fa451ee7cd589b946594674713c65a8a42a7,2026-09-06T22:58:16.312420+00:00,1774440021,NO_VERIFICABLE_HISTORICAMENTE,,,,2019,2,3,False
