price_id,price_type,product_code,category_tag,price,price_per,currency,date,location_id,proof_id,proof_type,country,city,qc_price_positive,qc_currency_present,qc_date_present,qc_date_not_future,qc_date_valid,qc_proof_present,qc_proof_visual,qc_product_identity,qc_core_eligible
66529,PRODUCT,3760020507916,,3.130,,EUR,2025-01-09,3,17481,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,False,True,True
66627,PRODUCT,3760020507916,,3.130,,EUR,2025-01-09,3,17514,RECEIPT,France,Grenoble,True,True,True,True,True,True,False,True,True
68462,PRODUCT,3033491350795,,2.250,,EUR,2025-01-17,1948,18212,PRICE_TAG,France,Clichy,True,True,True,True,True,True,False,True,True
68633,PRODUCT,3220035229611,,1.990,,EUR,2025-01-18,3,18294,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,False,True,True
68931,PRODUCT,3220035229611,,1.990,,EUR,2025-01-18,506,18469,PRICE_TAG,France,Échirolles,True,True,True,True,True,True,False,True,True
69007,PRODUCT,5000112611878,,1.750,,EUR,2025-01-18,506,18520,PRICE_TAG,France,Échirolles,True,True,True,True,True,True,False,True,True
69143,PRODUCT,8719200265578,,3.250,,GBP,2025-01-18,342,18716,RECEIPT,United Kingdom,Hartlepool,True,True,True,True,True,True,False,True,True
69168,PRODUCT,8000500391228,,2.990,,EUR,2025-01-10,468,18740,PRICE_TAG,Deutschland,,True,True,True,True,True,True,False,True,True
69341,PRODUCT,5000112611878,,1.830,,EUR,2025-01-20,3,18828,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,False,True,True
69943,PRODUCT,3242272981053,,2.890,,EUR,2025-01-21,49,19150,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,False,True,True
70023,PRODUCT,3123930711758,,3.960,,EUR,2025-01-21,49,19099,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,False,True,True
71617,PRODUCT,3760020507916,,2.690,,EUR,2025-01-24,2015,19484,PRICE_TAG,France,Saint-Martin-d'Hères,True,True,True,True,True,True,False,True,True
71721,PRODUCT,3456300014556,,2.690,,EUR,2025-01-24,2015,19484,PRICE_TAG,France,Saint-Martin-d'Hères,True,True,True,True,True,True,False,True,True
